aclass_id,bus,smm,prikljucna_moc_odjem,prikljucna_moc_oddaja,x_y,lon_lat
PMO,41796,11118.0,5.0,0.0,"(520334.29059999995, 152392.30069999956)","(21.356000044378305, 49.23946175865925)"
PMO,41796,11111.0,8.0,0.0,"(520334.29059999995, 152392.30069999956)","(21.356000044378305, 49.23946175865925)"
PMO,41796,11116.0,8.0,0.0,"(520334.29059999995, 152392.30069999956)","(21.356000044378305, 49.23946175865925)"
PMO,41796,11115.0,8.0,0.0,"(520334.29059999995, 152392.30069999956)","(21.356000044378305, 49.23946175865925)"
junction,97096,,,,"(520369.4625000004, 152425.93019999936)","(21.35645254099324, 49.23976688102478)"
PMO,41297,603.0,35.0,0.0,"(520320.1480999999, 152324.9201999996)","(21.35582376906718, 49.23885452367699)"
PMO,41298,11151.0,17.0,0.0,"(520316.43709999975, 152299.5998999998)","(21.355778319358087, 49.23862645348593)"
PMO,41298,11149.0,17.0,0.0,"(520316.43709999975, 152299.5998999998)","(21.355778319358087, 49.23862645348593)"
PMO,41298,11150.0,17.0,0.0,"(520316.43709999975, 152299.5998999998)","(21.355778319358087, 49.23862645348593)"
RO,2171,,,,"(520358.67059999984, 152374.78979999945)","(21.35631799434757, 49.239305998608415)"
RO,2172,,,,"(520358.5504999999, 152373.9098000005)","(21.356316529734652, 49.239298072747516)"
RO,2203,,,,"(520370.45210000034, 152414.26999999955)","(21.3564665985539, 49.23966204996808)"
RO,2204,,,,"(520369.32210000046, 152414.36999999918)","(21.356451936558535, 49.23966286716428)"
junction,98715,,,,"(520369.2324999999, 152425.97020000033)","(21.356449554621086, 49.239767224105776)"
RO,2207,,,,"(520363.74340000004, 152457.42080000043)","(21.35637507471823, 49.240049774948375)"
RO,2209,,,,"(520348.8132999996, 152467.51139999926)","(21.356180429191987, 49.24013946701276)"
TR,445,,,,"(520382.7308, 152363.97890000045)","(21.35663109152071, 49.23921049220127)"
junction,90868,,,,"(520363.3446000004, 152496.4313999992)","(21.35636579986574, 49.24040071233683)"
